顾客编号,一月消费天数,一月消费额,二月消费天数,二月消费额,三月消费天数,三月消费额,四月消费天数,四月消费额
45,5,12.5,0,0,0,0,0,0
46,9,88.66,4,12.46,13,60.63,19,89.93
47,90,550.65,7,39.29,63,440.68,34,301.64
48,3,3.43,0,0,5,17.75,0,0
49,38,253.12,0,0,17,206.81,17,146.16
50,4,51.8,2,17.5,0,0,3,24.6
51,124,519.72,32,126.81,19,73.58,38,187.99
52,38,307.27,141,2025.08,51,381.51,62,875.29
53,2,35.44,0,0,0,0,0,0
54,3,54.29,0,0,0,0,0,0
55,8,99.84,0,0,6,28.78,17,139.1
56,13,103.02,2,18.3,10,214.56,2,26.27
57,6,61.3,12,76.25,3,25.45,5,33.3
58,14,126.9,0,0,0,0,18,118.93
59,4,13.84,0,0,0,0,0,0
60,7,45.73,7,31.6,0,0,17,97.11
61,23,75.51,27,196.88,20,67.26,47,290.17
62,17,296.12,0,0,0,0,14,100.65
63,7,35.07,0,0,0,0,0,0
64,30,232.22,12,72.66,8,104.01,8,45.5
65,6,23.15,0,0,3,32.1,0,0
66,9,141.38,0,0,0,0,0,0
67,1,6.8,0,0,0,0,12,127.5
68,26,195.39,11,149.3,7,60.22,19,206.12
69,10,88.3,0,0,0,0,0,0
70,33,149.89,13,73.7,11,74.57,2,11.07
71,30,173.31,5,11.15,0,0,0,0
72,58,739.53,1,196,0,0,0,0
73,32,352.8,31,296.35,18,208.95,31,239.29
74,53,664.81,13,137.3,15,316.8,37,541.46
75,31,157.1,6,19.64,40,181.15,32,214.87
76,33,246.99,6,31.8,0,0,10,74.84
77,14,100.9,0,0,3,12.4,0,0
78,15,338.93,33,503.51,7,59.47,8,21.19
79,6,26.89,0,0,0,0,0,0
80,9,199.4,0,0,0,0,0,0
81,31,257.47,46,254.07,26,273.8,26,211.13
82,6,34.48,0,0,0,0,3,64.86
83,13,89.85,0,0,0,0,0,0
84,38,396.69,26,416.6,10,232.1,33,413.24
85,3,26.18,0,0,5,82.11,0,0
86,7,197.3,0,0,0,0,7,68.46
87,29,351.89,6,123.48,22,250.81,29,173.08
88,14,102.88,8,190.01,13,71.72,0,0
89,5,26.5,0,0,0,0,0,0
90,22,197.23,24,284.99,0,0,5,42.3
91,43,377.5,9,98.34,11,96.14,44,576.19
92,98,1020.22,28,215.03,0,0,16,111.27
93,43,260.28,21,112.92,31,222.53,43,275.23
94,33,361.5,0,0,5,33.2,0,0
95,9,36.84,13,62.16,15,63.36,6,50.63
96,15,73.82,0,0,0,0,0,0
97,3,7.11,0,0,0,0,0,0
98,3,22.7,0,0,0,0,0,0
99,7,214.24,0,0,0,0,7,90.7
100,2,44.72,0,0,0,0,0,0
101,4,21.9,0,0,0,0,0,0
102,21,90.19,39,162.88,16,152.58,13,161.9
103,9,137.43,0,0,8,33.73,0,0
104,9,91.38,0,0,8,118.69,0,0
105,61,348.32,33,121.48,8,79.76,15,149.59
106,14,183.1,10,72.71,6,32.57,18,117.79
107,15,215.46,11,438.9,7,61.75,3,44.75
108,86,677.53,18,662.85,43,514.06,29,485.88
109,4,24.7,6,73.6,0,0,0,0
110,14,103.12,0,0,0,0,0,0
111,2,17.85,0,0,0,0,6,162.43
112,4,44.39,0,0,0,0,0,0
113,19,129.92,19,138.51,9,34.54,35,402.41
114,17,188.29,0,0,0,0,0,0
115,12,109.61,0,0,0,0,1,23.42
116,2,112.6,0,0,0,0,0,0
117,9,260.96,0,0,5,32,5,19.47
118,10,85.66,4,61.28,14,202.4,0,0
119,11,148.52,25,235.24,20,239.47,8,112.61
120,3,58.37,0,0,0,0,0,0
121,16,193.15,2,14.9,11,80.52,19,142.67
122,5,75.18,8,41.54,6,36.11,0,0
123,3,42.57,0,0,0,0,0,0
124,6,23.96,0,0,0,0,0,0
125,1,10.9,0,0,0,0,0,0
126,7,143.93,7,261.07,14,170.06,0,0
127,72,435.62,6,63.55,28,221.62,23,172.31
128,17,94.1,0,0,0,0,0,0
129,14,172.52,0,0,0,0,0,0
130,16,103.67,15,44.35,0,0,14,117.08
131,11,152.5,0,0,0,0,0,0
132,11,64.8,8,119.4,0,0,0,0
133,26,115.13,0,0,0,0,37,375.53
134,20,175.32,7,55.4,12,137.56,18,134.44
135,5,55.31,0,0,0,0,0,0
136,6,45.26,0,0,0,0,0,0
137,13,57.83,0,0,0,0,0,0
138,2,31.78,0,0,0,0,0,0
139,19,148.25,20,471.09,29,269.92,6,69.21
140,31,170.41,0,0,0,0,0,0
141,5,35.72,0,0,0,0,0,0
142,52,301.47,41,295.26,25,246.34,28,255.05
143,11,91.51,1,127.8,0,0,5,85.3
144,43,271.22,46,462.86,18,149.36,21,224.29
145,17,202.05,14,203.03,32,420.22,15,243.15
146,38,233.62,13,161.17,7,30.95,15,65.85
147,1,59.7,6,35.3,0,0,0,0
148,2,31.8,0,0,0,0,0,0
149,13,101.81,0,0,0,0,0,0
150,2,3.03,0,0,0,0,10,105.78
151,41,400.94,4,102.5,0,0,30,177.38
152,15,60.19,5,25.39,2,27.65,3,12.26
153,17,212.19,0,0,8,86,0,0
154,6,53.82,0,0,0,0,0,0
155,9,89.1,0,0,0,0,0,0
156,20,141.77,3,12.96,8,51.32,19,110.09
157,3,12.44,0,0,3,22.8,0,0
158,4,21.9,0,0,0,0,0,0
159,10,59.75,5,440.4,0,0,0,0
160,2,59.13,4,66.49,0,0,0,0
161,3,27.28,0,0,0,0,0,0
162,13,106.51,0,0,8,147.92,0,0
163,21,138.47,10,102.17,0,0,4,47.4
164,29,181.31,0,0,19,114.24,17,274.76
165,2,40.95,0,0,0,0,0,0
166,4,40.48,0,0,6,23.78,1,3.5
167,10,133.56,0,0,10,69.18,8,84.56
168,8,65.29,6,80.3,14,71.14,7,44.34
169,6,43.82,0,0,5,67.24,0,0
170,1,7.3,0,0,0,0,0,0
171,6,47.34,11,48.37,0,0,0,0
172,13,180.18,7,373.1,3,48.94,3,34.92
173,3,73.3,5,53.7,0,0,0,0
174,60,402.83,6,64.51,46,516.91,34,249.91
175,4,106.6,0,0,0,0,0,0
176,7,59.32,8,33.82,0,0,9,26.27
177,18,243.95,7,131.97,6,105.3,0,0
178,2,20.2,0,0,0,0,0,0
179,6,145.53,0,0,15,136.16,11,98.49
180,4,42.01,1,2.7,0,0,3,22.99
181,46,378.66,14,135.42,0,0,13,143.66
182,2,44.9,6,92.48,0,0,0,0
183,17,120.76,31,295.21,6,41.44,8,70.4
184,5,56.69,0,0,0,0,0,0
185,5,22.37,0,0,2,17.16,0,0
186,8,34.51,0,0,0,0,0,0
187,22,149.34,0,0,6,31.66,0,0
188,22,158.34,0,0,0,0,0,0
189,10,78.48,5,101.3,1,11.5,3,152.33
190,30,288.58,10,37.43,24,171.83,24,263.2
191,10,54.6,2,25.9,5,89.6,0,0
192,3,19.5,0,0,0,0,0,0
193,6,28.11,0,0,0,0,0,0
194,3,46.44,0,0,0,0,0,0
195,2,20.33,0,0,0,0,0,0
196,28,225.95,0,0,11,70.99,0,0
197,19,293.06,0,0,0,0,0,0
198,20,102.72,0,0,0,0,6,97.17
199,17,49.54,16,134.96,3,13.78,10,80.85
200,3,19.09,0,0,0,0,4,26.85
201,9,60.5,9,132.27,7,60.93,5,24.1
202,5,30.6,0,0,0,0,0,0
203,24,375.5,1,6.5,3,85.6,0,0
204,33,169.46,8,50.38,21,142.74,25,94.78
205,60,365.96,18,138.37,20,205.41,27,178.56
206,3,38.1,0,0,0,0,0,0
207,13,70.38,0,0,16,84.49,3,6.92
208,4,54.7,0,0,0,0,0,0
209,8,52.35,0,0,5,26.83,6,36.65
210,59,339.44,72,596.86,78,673.47,56,379.96
211,7,91.61,0,0,0,0,0,0
212,43,374.82,44,277.11,29,186.76,21,250.89
213,2,42.2,0,0,0,0,0,0
214,6,134,0,0,0,0,0,0
215,27,151.85,20,149.66,46,260.24,35,296.27
216,14,91.1,0,0,0,0,0,0
217,23,77.24,0,0,0,0,0,0
218,18,121.27,0,0,0,0,0,0
219,3,18.4,0,0,0,0,1,7.6
220,15,178.93,7,34.7,14,145.3,16,147.76
221,6,57.28,13,489.03,11,79.3,2,77.74
222,3,14.92,0,0,0,0,0,0
223,53,348.65,7,21.01,46,254.11,22,120.59
224,3,65.7,0,0,0,0,0,0
225,3,32,0,0,0,0,0,0
226,17,107.83,6,104.2,20,302.23,6,81.27
227,18,82.69,8,34.39,13,55.47,21,155.14
228,17,142.28,9,30.71,3,22.15,0,0
229,11,62.57,0,0,0,0,3,24.72
230,8,154.3,0,0,0,0,0,0
231,40,333,44,332.25,58,592.59,26,245.57
232,3,11.5,0,0,0,0,2,18.8
233,1,27.9,12,82.3,0,0,0,0
234,2,16.5,0,0,0,0,0,0
235,16,133.1,16,182.7,15,187.41,13,125.6
236,8,29,24,177.13,23,132.52,31,390.99
237,9,79.35,4,22.42,0,0,0,0
238,16,106.8,14,95.05,10,63.38,17,168.11
239,2,18.5,0,0,0,0,0,0
240,12,110.68,0,0,0,0,0,0
241,8,42.5,16,115.04,7,68.43,7,64
242,37,249.67,4,41.34,11,74.22,13,100.25
243,3,43.7,0,0,0,0,1,16.9
244,8,73.66,0,0,5,14.34,10,76.04
245,2,21.53,0,0,0,0,0,0
246,16,144.03,0,0,0,0,0,0
247,30,193.98,0,0,0,0,0,0
248,17,171.08,0,0,0,0,0,0
249,53,572.15,23,342.92,0,0,0,0
250,26,172.51,0,0,29,285.98,43,585.65
251,4,29.2,0,0,0,0,4,27.58
252,4,65.1,0,0,0,0,0,0
253,2,13.9,2,18.14,0,0,11,98.19
254,4,23.7,0,0,0,0,0,0
255,17,181.1,7,75.69,0,0,30,331.11
256,33,275.62,3,15.16,11,147.38,0,0
257,2,8.67,0,0,0,0,0,0
258,19,203.72,7,94.3,4,37.62,7,82.2
259,9,120.73,0,0,0,0,0,0
260,8,24.57,21,94.13,22,55.95,59,426.71
261,20,103.99,22,125.89,10,57.25,29,160.16
262,1,21.9,4,44.9,0,0,0,0
263,4,18.62,0,0,0,0,0,0
264,19,186.94,6,30.35,0,0,0,0
265,25,253.81,18,237.01,10,92.36,27,247.05
266,24,163.21,0,0,0,0,14,165.79
267,27,274.6,13,117.47,27,131.79,10,94.37
268,8,81.85,0,0,12,87.15,0,0
269,21,218.66,0,0,26,184.82,5,34.21
270,36,211.53,10,196.15,25,144.57,15,98.25
271,9,81.68,10,90.31,4,130.12,1,5.9
272,3,89.1,0,0,0,0,0,0
273,7,74.5,5,73.3,0,0,0,0
274,42,366.05,0,0,15,145.4,25,231.11
275,3,15.55,0,0,0,0,0,0
276,7,36.04,0,0,0,0,0,0
277,13,117.14,11,487.5,0,0,0,0
278,8,199.22,0,0,2,25.51,3,66.2
279,3,20.62,5,21.76,0,0,12,61.95
280,29,127.95,7,48,0,0,0,0
281,18,67.3,2,9.2,7,30.94,16,81.49
282,3,18.9,0,0,0,0,0,0
283,2,51.8,0,0,0,0,0,0
284,13,62.13,12,46.42,40,249.98,16,121.73
285,3,12.59,0,0,0,0,0,0
286,14,367.31,17,282.79,12,139.75,29,198.23
287,15,70.87,10,95.49,21,107.63,6,30.3
288,1,4.5,0,0,0,0,3,21.1
289,2,4.16,0,0,0,0,1,26.9
290,3,77.9,0,0,0,0,0,0
291,7,77.59,0,0,0,0,0,0
292,3,18.35,0,0,0,0,1,4.9
293,10,42.24,0,0,0,0,0,0
294,22,315,0,0,8,73.9,14,129.76
295,7,20.6,0,0,0,0,0,0
296,3,55.86,0,0,0,0,0,0
297,8,126.3,0,0,23,677,6,185.63
298,6,21.6,16,243.26,2,19.4,2,5.7
299,17,156.5,0,0,0,0,0,0
300,13,131.37,13,142.95,15,96.03,12,62.4
301,22,107.09,4,97.6,0,0,0,0
302,11,50.2,0,0,0,0,0,0
303,8,63.02,21,155.29,8,45.3,36,273.76
304,56,534.67,18,166.43,22,233.98,63,538.16
305,6,34.2,0,0,0,0,0,0
306,17,97.22,5,29.9,18,138.67,8,80.7
307,10,35.76,0,0,0,0,2,5.09
308,27,276.39,2,18,10,44.1,2,30.6
309,30,152.86,23,162.73,22,195.57,10,89.9
310,6,105.66,0,0,3,22.3,6,65.23
311,19,183.65,0,0,9,66.79,11,55.15
312,3,188.8,0,0,0,0,0,0
313,9,27.5,13,100.62,4,77.81,0,0
314,19,76.13,0,0,0,0,0,0
315,6,57.18,0,0,0,0,0,0
316,22,648.55,10,86.51,8,103.16,1,49
317,15,55.04,33,248.72,10,39.12,0,0
318,10,120.35,25,401.34,25,257.84,5,74.5
319,2,7.05,0,0,0,0,0,0
320,2,16.8,4,41.96,0,0,0,0
321,8,61.25,0,0,10,92.59,0,0
322,3,16.81,0,0,0,0,0,0
323,5,45.5,0,0,0,0,0,0
324,2,8.5,0,0,0,0,0,0
325,5,85.89,0,0,0,0,5,80.61
326,22,351,17,163.9,7,60.75,16,160.6
327,19,96.33,0,0,13,74.9,5,31.15
328,5,78.7,5,26,0,0,0,0
329,2,155,0,0,7,141.79,3,16.71
330,3,38.72,0,0,5,66.67,5,67.73
331,11,62.59,0,0,3,4.8,15,117.73
332,23,182.5,0,0,0,0,0,0
333,11,145.3,0,0,0,0,0,0
334,13,97.4,0,0,0,0,0,0
335,4,33.56,0,0,0,0,0,0
336,2,36.8,12,64.68,0,0,6,26.31
337,8,56.74,28,219.88,9,61.57,12,163.17
338,3,72.7,0,0,0,0,0,0
339,17,88.48,15,77.16,27,90.9,15,61.08
340,1,105,0,0,0,0,0,0
341,2,9.9,0,0,8,110.88,0,0
342,7,23.41,6,13.21,0,0,0,0
343,4,38,0,0,0,0,7,48.47
344,27,177.87,5,27.72,28,190.43,26,103.1
345,9,93.14,0,0,0,0,0,0
346,28,294.45,0,0,7,26.57,0,0
347,8,54.99,13,125.48,6,41.59,21,211.18
348,12,80.49,9,118.41,26,290.94,41,599.39
349,10,74.47,0,0,0,0,0,0
350,7,57.4,0,0,5,47.13,5,34.3
351,10,91.5,0,0,0,0,0,0
352,34,228.18,8,68,2,12.93,27,211.66
353,13,173.75,12,144.74,12,117.21,3,52.8
354,16,238.15,13,70.35,4,79.85,7,116.17
355,23,215.49,25,194.85,0,0,0,0
356,5,53.62,0,0,0,0,0,0
357,12,150.55,0,0,7,59.24,0,0
358,5,45.81,0,0,0,0,0,0
359,3,30.22,0,0,0,0,0,0
360,5,25.43,0,0,0,0,0,0
361,7,90.4,4,59.3,0,0,0,0
362,11,164.6,0,0,0,0,0,0
363,4,27.7,0,0,0,0,0,0
364,2,17.33,0,0,0,0,0,0
365,19,200.89,6,33.19,11,102.68,9,145.3
366,3,3.25,0,0,0,0,0,0
367,12,116.28,0,0,0,0,5,33.07
368,10,92.4,2,52.96,10,46,5,31.56
369,3,32.29,9,100,0,0,0,0
370,4,51.07,0,0,0,0,0,0
371,13,46.61,6,28.03,8,66.99,28,200.18
372,32,470.62,34,321.14,43,314.78,63,399.34
373,12,143.17,2,5.16,10,90.4,1,14.9
374,30,271.9,0,0,10,61.63,0,0
375,6,142.23,10,63.24,0,0,5,60.73
376,5,38.7,0,0,4,18.42,0,0
377,18,335.93,12,492.8,0,0,0,0
378,11,136,5,176.5,0,0,4,41.9
379,10,31.27,0,0,0,0,0,0
380,5,32.16,26,249.31,0,0,14,89.1
381,13,125.12,16,69.64,7,27.3,23,190.62
382,10,159.4,15,71.59,0,0,6,156.2
383,14,44.3,13,92.03,6,87.67,3,78.1
384,6,32.5,0,0,0,0,0,0
385,13,72.6,6,38.88,4,27.73,19,124.27
386,9,70.02,2,64.7,0,0,0,0
387,15,90.04,0,0,19,132.68,0,0
388,9,166.5,7,42.3,0,0,7,61.38
389,6,72.66,8,116.15,0,0,6,161.08
390,6,33.72,3,24.2,0,0,0,0
391,4,56.07,0,0,0,0,0,0
392,7,51.5,0,0,0,0,0,0
393,3,53.13,0,0,0,0,0,0
394,18,140.2,0,0,0,0,0,0
395,25,251.63,39,410.39,49,542.02,62,616.16
396,32,129.84,11,34.68,20,209.92,10,125.52
397,19,113,11,70.78,13,137.95,15,52.15
398,13,79.1,6,45.91,24,135.3,53,331.51
399,4,185.65,0,0,0,0,0,0
400,27,128.36,31,238.59,52,250.05,34,234.95
401,4,49.42,0,0,0,0,0,0
402,6,47.04,7,88.82,15,198.76,10,49.5
403,8,210.59,0,0,8,135.74,0,0
404,8,114.56,22,212.04,4,38.58,20,219.43
405,16,76.25,0,0,15,97.73,13,106.13
406,3,37.89,0,0,0,0,0,0
407,7,38.7,0,0,0,0,0,0
408,9,80.87,0,0,13,105.06,22,111.59
409,4,41.67,9,27.64,0,0,11,87.38
410,2,21.3,0,0,0,0,0,0
411,10,52.22,10,70.85,7,42.66,11,90.75
412,14,82.75,10,247.03,8,46.71,2,24.2
413,1,42,0,0,0,0,0,0
414,2,20.8,0,0,0,0,0,0
415,19,214.93,6,54.92,13,86.62,3,58.07
416,5,200.67,0,0,0,0,0,0
417,12,171.23,0,0,0,0,0,0
418,3,11.9,0,0,0,0,2,5.79
419,6,27.9,0,0,7,39.1,0,0
420,4,22.79,0,0,0,0,0,0
421,17,174.89,3,39.22,4,17.78,17,152.02
422,1,2.89,0,0,0,0,0,0
423,14,191.5,0,0,0,0,12,81.54
424,24,208.59,0,0,0,0,0,0
425,13,111.36,9,77.96,0,0,0,0
426,5,43.48,0,0,0,0,0,0
427,2,46.33,0,0,0,0,0,0
428,7,26.7,0,0,0,0,0,0
429,16,132.29,0,0,0,0,0,0
430,6,41.8,0,0,0,0,0,0
431,10,106.42,5,89.43,4,55.85,5,63.34
432,6,124.03,0,0,0,0,0,0
433,24,190.77,0,0,5,34.3,0,0
434,9,83.74,1,58.8,5,35.4,3,33.7
435,14,75.06,5,34.1,5,21.1,0,0
436,15,119.91,0,0,0,0,0,0
437,18,166.67,0,0,3,18.81,11,75.57
438,17,230.21,14,771.4,0,0,0,0
439,1,40.9,17,248.87,6,64.19,16,109.04
440,8,72.17,11,127.39,7,91.71,5,30.57
441,51,308.08,0,0,11,136.97,13,75.01
442,4,52.83,2,22.7,7,58.6,3,17.7
443,3,8.59,3,201.9,8,57.56,22,102.35
444,2,15.6,19,129.6,9,85.61,7,42.35
445,9,22.25,0,0,3,12.74,0,0
446,4,37.2,0,0,0,0,0,0
447,2,14.8,0,0,3,27.64,10,82.96
448,1,10.9,0,0,0,0,0,0
449,3,17.1,0,0,0,0,0,0
450,2,27.2,0,0,36,358.66,8,49.92
451,5,37.05,0,0,0,0,0,0
452,1,19.9,0,0,0,0,0,0
453,9,81.98,7,95.62,7,139.83,8,46.99
454,21,106.97,29,211.59,13,75.62,61,451.38
455,1,21.8,0,0,0,0,0,0
456,1,78,1,54.9,0,0,0,0
457,5,27.88,0,0,5,39.45,0,0
458,7,46.3,10,72.03,0,0,0,0
459,14,96.1,2,11.9,0,0,9,41.64
460,4,90.6,0,0,0,0,0,0
461,26,178.54,34,189.23,48,290.26,22,187.16
462,3,29.4,0,0,0,0,0,0
463,1,76.9,0,0,0,0,0,0
464,23,151.99,0,0,20,175.4,17,296.91
465,8,51.03,9,113.22,0,0,5,49.41
466,18,221.91,9,86.06,2,38.39,3,28.9
467,4,88.6,0,0,0,0,0,0
468,13,74.67,0,0,0,0,0,0
469,23,110.07,8,89.17,22,304.15,0,0
470,7,43.5,4,77.8,0,0,1,50.9
471,16,116.35,0,0,0,0,0,0
472,7,28.8,3,80.7,0,0,0,0
473,3,54.95,0,0,0,0,0,0
474,23,222.37,14,90.98,3,9.5,17,126.62
475,3,4.7,0,0,0,0,0,0
476,16,53.86,2,11.37,18,67.15,8,41.65
477,11,80.19,0,0,0,0,0,0
478,8,26.22,0,0,0,0,0,0
479,7,44.4,0,0,0,0,0,0
480,6,13.2,3,23.95,9,74.7,0,0
481,4,47.1,0,0,13,65.6,0,0
482,17,104.92,13,57.7,6,26.7,0,0
483,3,37.65,15,99.39,26,263.27,4,30.14
484,17,136.41,11,155.69,33,277.4,21,132.17
485,3,31.73,13,118.2,0,0,0,0
486,4,167.67,0,0,0,0,0,0
487,12,59.37,18,116.88,22,157.92,5,15.9
488,9,75.85,1,10.3,0,0,3,50.7
489,10,33.37,0,0,5,101.03,0,0
490,4,29.7,5,142.84,0,0,0,0
491,3,36.11,0,0,0,0,7,65.75
492,5,70.66,0,0,12,203.25,0,0
493,3,17.26,0,0,0,0,0,0
494,2,25.38,0,0,0,0,0,0
495,3,21.78,2,32.67,0,0,0,0
496,2,133.8,0,0,2,222.8,0,0
497,26,175.02,19,94.88,12,29.94,5,22.7
498,2,31.8,7,91,0,0,0,0
499,12,121.7,3,26.6,0,0,24,161.8
500,4,82.4,0,0,0,0,0,0
501,6,60.7,10,96.46,4,34.57,6,44.66
502,3,48.22,0,0,0,0,0,0
503,14,67.46,0,0,0,0,0,0
504,3,20.34,0,0,0,0,0,0
505,2,17.45,0,0,0,0,0,0
506,18,107.12,12,59.05,0,0,13,101.99
507,17,154.88,12,100.09,11,108,0,0
508,16,135.21,0,0,0,0,0,0
509,27,392.87,5,99.7,12,145.81,18,116.97
510,4,49.19,0,0,0,0,4,71.79
511,5,45,0,0,0,0,8,116.21
512,14,129.96,14,65.75,12,83.54,0,0
513,5,95.5,1,136,0,0,5,45.1
514,6,39.03,0,0,0,0,0,0
515,9,71.25,0,0,26,199.43,0,0
516,14,71.03,34,225.71,0,0,0,0
517,3,27.8,2,17.8,1,26.9,0,0
518,6,125.5,0,0,0,0,0,0
519,16,129.6,0,0,12,77.4,0,0
520,9,178.4,7,428.1,0,0,0,0
521,10,70.78,0,0,0,0,0,0
522,7,117.2,3,70.7,14,212.2,0,0
523,14,121.4,0,0,0,0,0,0
524,25,202.24,3,44.8,12,133.7,0,0
525,8,54.07,0,0,3,27.76,0,0
526,30,616.6,0,0,0,0,0,0
527,16,149.9,0,0,5,43.4,2,13.24
528,8,53.56,0,0,0,0,0,0
529,9,60.83,6,40.62,0,0,0,0
530,2,4.7,2,10.15,2,21.55,0,0
531,7,62.23,11,139.4,0,0,0,0
532,14,114.5,10,96.6,7,90.9,0,0
533,14,193.24,9,222.14,2,19.8,13,69.54
534,6,29.7,0,0,0,0,3,19.6
535,3,146.2,0,0,0,0,0,0
536,1,26.9,0,0,0,0,0,0
537,4,78.65,0,0,10,38.08,0,0
538,3,21.42,13,357.06,18,257.35,0,0
539,7,209.4,15,207.24,0,0,0,0
540,2,30.38,0,0,0,0,0,0
541,1,19.3,0,0,0,0,0,0
542,15,85.88,21,156.05,6,20.02,25,187.74
543,1,25.9,2,32.8,0,0,0,0
544,1,11.3,0,0,0,0,0,0
545,7,69.08,0,0,0,0,0,0
546,4,53.81,12,59.76,3,35.23,0,0
547,24,171.68,0,0,39,225.43,26,356.13
548,7,53.01,11,63.24,16,127.14,27,191.72
549,8,56.58,12,52.3,0,0,0,0
550,2,86.5,0,0,0,0,0,0
551,35,276.05,0,0,10,131.7,13,83.62
552,7,74.13,0,0,0,0,0,0
553,38,226.58,44,327.15,29,229.32,27,279.51
554,32,176.98,23,102.72,28,165.13,12,53.18
555,2,55,0,0,0,0,0,0
556,32,379.37,19,150.73,0,0,0,0
557,2,31.6,3,80.7,0,0,0,0
558,10,59.49,0,0,0,0,0,0
559,9,52.44,3,57.55,0,0,0,0
560,22,139.96,0,0,0,0,0,0
561,7,35.72,0,0,0,0,0,0
562,2,2.9,20,121.56,1,18.9,2,4.21
563,33,203.41,21,145.33,24,153.52,20,101.72
564,11,62.83,0,0,2,75.9,0,0
565,6,31.4,0,0,0,0,0,0
566,4,51.8,12,122.08,0,0,10,126.5
567,1,18.6,0,0,0,0,0,0
568,5,38.8,4,206.8,0,0,0,0
569,1,3,8,50.48,12,77.66,3,11.59
570,6,210.8,0,0,0,0,0,0
571,4,79.4,0,0,0,0,0,0
572,6,28.55,2,5.38,0,0,14,89.02
573,10,221.87,22,164.76,2,104.9,1,36
574,8,36.6,0,0,0,0,0,0
575,11,156.78,11,68.44,0,0,0,0
576,10,63.72,7,32.2,3,13.82,0,0
577,3,38.33,0,0,0,0,0,0
578,9,129.29,0,0,9,27.94,16,58.17
579,5,65.5,5,39.43,0,0,0,0
580,2,9.2,0,0,0,0,0,0
581,7,28.49,2,17.6,3,42.7,2,6.8
582,1,29.9,0,0,0,0,10,87
583,1,7.9,0,0,0,0,0,0
584,8,65.8,0,0,0,0,0,0
585,1,3.29,0,0,0,0,0,0
586,1,109.9,0,0,0,0,0,0
587,5,51.7,9,61.24,0,0,0,0
588,15,128.68,0,0,11,156.94,0,0
589,14,136.83,0,0,0,0,0,0
590,9,126.15,10,52.6,7,46.1,13,74.94
591,15,77.8,0,0,11,80.58,21,105.31
592,22,127.56,39,219.64,38,222.36,6,44.7
593,7,24.54,14,41.09,11,55.38,10,56.25
594,24,147.99,0,0,0,0,0,0
595,9,40.81,4,150.6,0,0,0,0
596,9,105.14,14,224.11,0,0,0,0
597,12,154.01,3,30.16,8,64.34,9,76.25
598,8,65.84,0,0,0,0,12,58.14
599,2,63.7,7,81.98,0,0,12,55.51
600,5,50.8,15,100.6,3,11.9,0,0
601,9,212.47,7,15.77,2,20.1,17,82.34
602,9,50.59,0,0,0,0,0,0
603,5,65.64,0,0,0,0,0,0
604,9,115.96,4,17.18,14,117.44,18,174.76
605,7,46.92,0,0,0,0,0,0
606,4,10.35,0,0,0,0,0,0
607,8,118.48,0,0,0,0,0,0
608,2,469.2,0,0,5,89.8,0,0
609,21,135.25,19,166.61,38,419.36,39,291.44
610,5,60.4,7,63.06,7,11.43,0,0
611,5,33.12,0,0,0,0,0,0
612,4,63.15,0,0,0,0,0,0
613,1,96,11,412.78,0,0,0,0
614,18,103.4,15,152.75,14,118.34,21,150.79
